Case_Number,Fault_Resistance,Fault_Angle,Fault_Duration,Vnadir,Number of Trips,Number of Chatters,Value of Chatters,Final_Output,Segment 1_Stall,Segment2_Stall,Segment3_Stall,TMS,,T1_Measured,V1_Measured,T2_Measured,V2_Measured,,,,,,
1,2.490490138,1.996127912,0.088155794,0.90267044,0,0,0,0,0,0,0,0,,NaN,0.996582848,-46.247912,0.999987531,,1000,,,,
2,2.740927827,1.99872105,0.079307692,0.907954022,0,0,0,0,0,0,0,0,,NaN,0.998198407,-48.84105,0.999987531,,,,,,
3,0.599213745,1.996056296,0.093725629,0.793958406,3,0,3,3,1,1,1,30,,0.00875895,0.795724925,106.223704,0.879146204,,,,,,
4,2.761783604,1.996177189,0.084443092,0.910114377,0,0,0,0,0,0,0,0,,NaN,0.997747167,-46.297189,0.999987531,,1.997701077,1.995885,,,
5,1.988987927,1.998053041,0.078379213,0.877821093,0,3,1.5,1.5,0,0,0,0,,0.040222811,0.88665047,94.986959,0.939829011,,,,,,
6,0.518236114,1.996282542,0.097968752,0.782266863,3,0,3,3,1,1,1,30,,0.009666959,0.784462819,115.237458,0.87540836,,0.001816077,,,,
7,1.015870102,1.999288452,0.095868896,0.826143276,0,3,1.5,1.5,1,1,1,30,,0.014197458,0.834021432,104.911548,0.853855256,,,,,,
8,0.426611081,1.999285946,0.085020206,0.768160224,3,0,3,3,1,1,1,30,,0.010591548,0.769812281,107.194054,0.882576447,,2.49591,,,,
9,3.847592323,1.998889665,0.08742842,0.929681917,0,0,0,0,0,0,0,0,,NaN,0.996265647,-49.009665,0.999987531,,,,,,
10,0.018536897,1.996503939,0.086248589,0.671579409,3,0,3,3,1,1,1,30,,0.007990335,0.674685045,99.656061,0.822018386,,2.497726077,,,,
11,3.099641859,1.998627855,0.073617818,0.916379672,0,0,0,0,0,0,0,0,,NaN,0.996449296,-48.747855,0.999987531,,,,,,
12,3.269212883,1.998040312,0.076731503,0.920164086,0,0,0,0,0,0,0,0,,NaN,0.997000377,-48.160312,0.999987531,,,,,,
13,3.474778821,1.999933561,0.082381748,0.923293971,0,0,0,0,0,0,0,0,,NaN,0.998411967,-50.053561,0.999987531,,,,,,
14,0.337743382,1.998583631,0.074375256,0.753383844,3,0,3,3,1,1,1,30,,0.009706439,0.754060051,91.456369,0.874237064,,,,,,
15,1.599130596,1.999214211,0.094815483,0.855421434,0,3,1.5,1.5,1,1,1,30,,0.016576369,0.861672677,101.265789,0.872122746,,,,,,
16,1.039481611,1.997770324,0.073185651,0.831064437,0,3,1.5,1.5,0,1,1,20,,0.011025789,0.834098809,88.069676,0.897131548,,,,,,
17,3.200273921,1.997681131,0.074223195,0.919023912,0,0,0,0,0,0,0,0,,NaN,0.997149034,-47.801131,0.999987531,,,,,,
18,1.72565531,1.999318307,0.072384578,0.864549752,0,3,1.5,1.5,1,1,0,20,,0.017958869,0.871796826,88.921693,0.906197899,,,,,,
19,3.642590378,1.996227291,0.074281221,0.927704765,0,0,0,0,0,0,0,0,,NaN,0.998722699,-46.347291,0.999987531,,,,,,
20,0.727388113,1.996434379,0.081208766,0.810387658,3,0,3,3,1,1,1,30,,0.011972709,0.8113367,96.965621,0.893281099,,,,,,
21,1.055211666,1.996601953,0.077059706,0.830076426,0,3,1.5,1.5,0,1,0,10,,0.012845621,0.840354403,94.758047,0.951774841,,,,,,
22,0.582155922,1.997508408,0.097448542,0.791414458,3,0,3,3,1,1,1,30,,0.012438047,0.793403357,112.691592,0.888017549,,,,,,
23,0.544274235,1.999343582,0.081025906,0.787175429,3,0,3,3,1,1,1,30,,0.012491592,0.787966449,94.056418,0.890211498,,,,,,
24,3.477168831,1.999226852,0.072854383,0.923467161,0,0,0,0,0,0,0,0,,NaN,0.996758886,-49.346852,0.999987531,,,,,,
25,2.318818349,1.996131463,0.096832536,0.896586633,0,0,0,0,0,0,0,0,,NaN,0.996920262,-46.251463,0.999987531,,,,,,
26,2.899440807,1.997543074,0.099325621,0.912247268,0,0,0,0,0,0,0,0,,NaN,0.998042319,-47.663074,0.999987531,,,,,,
27,0.579819193,1.998074816,0.08131437,0.792142259,3,0,3,3,1,1,1,30,,0.011856926,0.793052944,95.205184,0.890899285,,,,,,
28,3.412124471,1.997616164,0.07040027,0.923091736,0,0,0,0,0,0,0,0,,NaN,0.997471335,-47.736164,0.999987531,,,,,,
29,2.488220526,1.998616416,0.075293554,0.900527069,0,0,0,0,0,0,0,0,,NaN,0.995531904,-48.736416,0.999987531,,,,,,
30,1.403809524,1.998496056,0.080310371,0.850159329,0,3,1.5,1.5,1,1,1,30,,0.016183584,0.861949488,94.423944,0.923867953,,,,,,
31,2.952998159,1.9970961,0.086510039,0.914147899,0,0,0,0,0,0,0,0,,NaN,0.996229058,-47.2161,0.999987531,,,,,,
32,1.607232135,1.997678047,0.075431651,0.858463808,0,3,1.5,1.5,1,1,1,30,,0.0357039,0.919901218,89.481953,0.915811722,,,,,,
33,0.303866767,1.99594403,0.086774675,0.74587732,3,0,3,3,1,1,1,30,,0.008601953,0.747661506,99.25597,0.845805619,,,,,,
34,0.959664614,1.999979766,0.090383485,0.823386773,0,3,1.5,1.5,1,1,1,30,,0.01441597,0.826725853,99.180234,0.892600524,,,,,,
35,0.493275739,1.996576035,0.074084166,0.780034405,3,0,3,3,1,1,1,30,,0.007980234,0.780766958,89.263965,0.865833436,,,,,,
36,0.735631153,1.996322068,0.070610008,0.811838204,3,0,3,3,1,1,1,30,,0.011503965,0.812392916,88.557932,0.889389794,,,,,,
37,0.959810103,1.997431207,0.076579307,0.822348694,0,3,1.5,1.5,0,0,1,10,,0.013317932,0.831423377,96.568793,0.9555274,,,,,,
38,2.669068276,1.996704993,0.077315317,0.90743789,0,0,0,0,0,0,0,0,,NaN,0.997272758,-46.824993,0.999987531,,,,,,
39,0.198617721,1.997919865,0.080824753,0.723054015,3,0,3,3,1,1,1,30,,0.012575007,0.724611405,95.600135,0.850862158,,,,,,
40,3.61086444,1.997294056,0.083611681,0.92669787,0,0,0,0,0,0,0,0,,NaN,0.998441285,-47.414056,0.999987531,,,,,,
41,3.779148759,1.999844627,0.069547676,0.928405664,0,0,0,0,0,0,0,0,,NaN,0.9970624,-49.964627,0.999987531,,,,,,
42,1.96345637,1.999714217,0.075440658,0.87431533,0,3,1.5,1.5,0,1,1,20,,0.035475373,0.874358818,93.325783,0.93330331,,,,,,
43,2.657010554,1.996098987,0.093373787,0.907269414,0,0,0,0,0,0,0,0,,NaN,0.996835008,-46.218987,0.999987531,,,,,,
44,1.350877639,1.998953909,0.067673035,0.846274797,0,3,1.5,1.5,1,1,1,30,,0.018341013,0.862966885,71.166091,0.867497103,,,,,,
45,3.600215386,1.997000831,0.097630843,0.92611586,0,0,0,0,0,0,0,0,,NaN,0.998194864,-47.120831,0.999987531,,,,,,
46,1.476987124,1.997641315,0.091020018,0.84884188,0,3,1.5,1.5,1,0,0,10,,0.018159169,0.868835391,105.118685,0.913748693,,,,,,
47,0.444811021,1.998162295,0.082970679,0.771932652,3,0,3,3,1,1,1,30,,0.011878685,0.772968664,94.997705,0.879769457,,,,,,
48,3.121008273,1.999807571,0.085964885,0.916415381,0,0,0,0,0,0,0,0,,NaN,0.995079675,-49.927571,0.999987531,,,,,,
49,1.558955348,1.9976201,0.074601543,0.860909879,0,3,1.5,1.5,1,1,1,30,,0.016792429,0.863708226,93.7399,0.953289742,,,,,,
50,0.966765144,1.999975552,0.081979666,0.824359698,0,3,1.5,1.5,1,1,1,30,,0.0127399,0.827316553,91.504448,0.909149651,,,,,,
51,1.615648582,1.997135562,0.098770848,0.85697319,0,3,1.5,1.5,0,0,0,0,,0.032704448,0.870206475,103.824438,0.87089835,,,,,,
52,0.385818101,1.998800745,0.08490863,0.761076424,3,0,3,3,1,1,1,30,,0.012624438,0.762853881,107.559255,0.88113893,,,,,,
53,0.52789317,1.998655912,0.084053823,0.784809749,3,0,3,3,1,1,1,30,,0.010959255,0.785683003,94.864088,0.888169337,,,,,,
54,3.768202363,1.99812586,0.074412093,0.928791747,0,0,0,0,0,0,0,0,,NaN,0.997622879,-48.24586,0.999988898,,,,,,
55,3.824538161,1.998788273,0.082980295,0.929368485,0,0,0,0,0,0,0,0,,NaN,0.998532373,-48.908273,0.999988898,,,,,,
56,3.30083438,1.9986567,0.087481201,0.920432901,0,0,0,0,0,0,0,0,,NaN,0.995735309,-48.7767,0.999988898,,,,,,
57,0.239118172,1.996621719,0.089315214,0.731469213,3,0,3,3,1,1,1,30,,0.0091833,0.734092283,107.338281,0.828952172,,,,,,
58,0.939119653,1.996412893,0.079870657,0.821262866,0,3,1.5,1.5,1,1,0,20,,0.012058281,0.829146523,102.987107,0.961702059,,,,,,
59,1.412634285,2.000042335,0.07893564,0.852446492,0,3,1.5,1.5,1,1,1,30,,0.018027107,0.861624962,93.357665,0.924897211,,,,,,
60,3.284776161,1.996592504,0.099599801,0.920568488,0,0,0,0,0,0,0,0,,NaN,0.998060892,-46.712504,0.999988898,,,,,,
61,0.061613751,1.996015337,0.067956704,0.686921241,3,0,3,3,1,1,1,30,,0.007167496,0.689074887,84.184663,0.824798793,,,,,,
62,0.172095207,1.998217832,0.096176095,0.714905917,3,0,3,3,1,1,1,30,,0.013384663,0.718093193,111.862168,0.847406858,,,,,,
63,0.675960118,1.999553944,0.097112451,0.803512645,3,0,3,3,1,1,1,30,,0.011782168,0.805220763,110.406056,0.899116036,,,,,,
64,2.5964619,1.99866773,0.093212923,0.903879518,0,0,0,0,0,0,0,0,,NaN,0.998085177,-48.78773,0.999988898,,,,,,
65,2.926889543,1.996672972,0.069987119,0.91380457,0,0,0,0,0,0,0,0,,NaN,0.999279884,-46.792972,0.999988898,,,,,,
66,2.590983853,1.997416652,0.07542031,0.904825599,0,0,0,0,0,0,0,0,,NaN,0.996536787,-47.416652,0.999987531,,,,,,
67,1.803694826,1.997799191,0.077867383,0.872643822,0,3,1.5,1.5,0,0,1,10,,0.037183348,0.873174232,95.240809,0.930376191,,,,,,
68,0.588035569,1.999969658,0.089334941,0.792590469,3,0,3,3,1,1,1,30,,0.012200809,0.793998452,105.670342,0.859880607,,,,,,
69,1.185283222,1.996531187,0.071247219,0.839250609,0,3,1.5,1.5,1,0,1,20,,0.010150342,0.85123861,98.068813,0.969777823,,,,,,
70,2.978771228,1.999444178,0.090716876,0.913371789,0,0,0,0,0,0,0,0,,NaN,0.994984589,-49.444178,0.999987531,,,,,,
71,0.75582006,1.998566019,0.07025517,0.811606189,3,0,3,3,1,1,0,20,,0.010315822,0.814497601,90.873981,0.87835664,,,,,,
72,2.747101733,1.997447301,0.08847012,0.908972454,0,0,0,0,0,0,0,0,,NaN,0.995709835,-47.447301,0.999987531,,,,,,
73,0.734044623,1.996675015,0.083155992,0.811188153,3,0,3,3,1,1,1,30,,0.010992699,0.81210886,96.364985,0.895220908,,,,,,
74,1.473938386,1.997663887,0.092642422,0.84870602,0,3,1.5,1.5,1,0,0,10,,0.018604985,0.868655925,105.096113,0.913548035,,,,,,
75,2.502474243,1.997887925,0.090510735,0.901743612,0,0,0,0,0,0,0,0,,NaN,0.99493642,-47.887925,0.999987531,,,,,,
76,3.120909741,1.996382048,0.096793895,0.917333329,0,0,0,0,0,0,0,0,,NaN,0.997919127,-46.382048,0.999987531,,,,,,
77,0.324503075,1.998335781,0.096367719,0.749038222,3,0,3,3,1,1,1,30,,0.013137952,0.75155985,111.504219,0.867200956,,,,,,
78,3.717543884,1.996821949,0.07782763,0.928643564,0,0,0,0,0,0,0,0,,NaN,0.998408618,-46.821949,0.999987531,,,,,,
79,3.102850714,1.99748208,0.089968236,0.91715511,0,0,0,0,0,0,0,0,,NaN,0.996193813,-47.48208,0.999987531,,,,,,
80,1.94716653,1.99830861,0.073287067,0.878097949,0,3,1.5,1.5,0,0,1,10,,0.03831792,0.92147702,91.85139,0.955481895,,,,,,
81,1.743434354,1.996928692,0.067717014,0.868274202,0,3,1.5,1.5,0,0,1,10,,0.03005139,0.937796207,79.431308,0.934178563,,,,,,
82,1.787134998,1.997089669,0.091477673,0.869823301,0,3,1.5,1.5,0,0,0,0,,0.037431308,0.883988405,100.990331,0.912062955,,,,,,
83,1.225397888,1.998450712,0.083350747,0.838271252,0,3,1.5,1.5,1,1,1,30,,0.014590331,0.847872272,94.709288,0.919219254,,,,,,
84,2.034034622,1.996984837,0.082681407,0.883896472,0,3,1.5,1.5,0,0,0,0,,0.038789288,0.889515145,92.215163,0.910884944,,,,,,
85,1.143086257,1.999314401,0.096827251,0.833105367,0,3,1.5,1.5,0,1,1,20,,0.013975163,0.835581939,109.325599,0.910635892,,,,,,
86,3.270510833,1.999973931,0.087008559,0.919455136,0,0,0,0,0,0,0,0,,NaN,0.995381406,-49.973931,0.999987531,,,,,,
87,3.179325668,1.998922203,0.087268291,0.917891549,0,0,0,0,0,0,0,0,,NaN,0.995451331,-48.922203,0.999987531,,,,,,
88,2.577272521,1.997312321,0.095319429,0.904133664,0,0,0,0,0,0,0,0,,NaN,0.997958778,-47.312321,0.999987531,,,,,,
89,1.514437531,1.998313122,0.093522798,0.84980579,0,3,1.5,1.5,0,1,1,20,,0.017967679,0.870599039,108.526878,0.917021196,,,,,,
90,3.246321833,1.996328538,0.085904826,0.920668606,0,0,0,0,0,0,0,0,,NaN,0.998134407,-46.328538,0.999987531,,,,,,
91,0.131302355,1.999655784,0.072791318,0.706342633,3,0,3,3,1,1,1,30,,0.013791462,0.707198284,95.304216,0.872702948,,,,,,
92,1.402908414,1.999544724,0.074689736,0.852764569,0,3,1.5,1.5,1,1,1,30,,0.014784216,0.861088153,90.735276,0.952438984,,,,,,
93,3.756006248,1.999286836,0.096220847,0.928136399,0,0,0,0,0,0,0,0,,NaN,0.998344576,-49.286836,0.999987531,,,,,,
94,3.503771246,1.996965867,0.067654849,0.925063157,0,0,0,0,0,0,0,0,,NaN,0.999526104,-46.965867,0.999987531,,,,,,
95,1.200625372,1.998355984,0.083013716,0.837288763,0,3,1.5,1.5,1,1,1,30,,0.014474133,0.847930738,102.844016,0.983260764,,,,,,
96,2.489900344,1.995973302,0.072291974,0.902853217,0,0,0,0,0,0,0,0,,NaN,0.997787696,-45.973302,0.999987531,,,,,,
97,2.348178818,1.997651414,0.099290066,0.896873719,0,0,0,0,0,0,0,0,,NaN,0.997923063,-47.651414,0.999987531,,,,,,
98,3.258894746,1.997182495,0.090432726,0.920477621,0,0,0,0,0,0,0,0,,NaN,0.996644702,-47.182495,0.999987531,,,,,,
99,3.623167748,1.996552353,0.083365705,0.927258037,0,0,0,0,0,0,0,0,,NaN,0.998374437,-46.552353,0.999987531,,,,,,
100,0.507947265,1.996624359,0.082387243,0.7816734,3,0,3,3,1,1,1,30,,0.011527647,0.782979142,97.255641,0.875337207,,,,,,
101,3.653503425,1.997736109,0.097801975,0.926848507,0,0,0,0,0,0,0,0,,NaN,0.998256856,-47.856109,0.999987531,,,,,,
102,2.529436985,1.998572471,0.089301881,0.901894804,0,0,0,0,0,0,0,0,,NaN,0.994454558,-48.692471,0.999987531,,,,,,
103,0.39016162,1.998835187,0.091932746,0.76185154,3,0,3,3,1,1,1,30,,0.011187529,0.763616021,107.524813,0.881404861,,,,,,
104,1.113992875,1.999024028,0.091446311,0.831187575,0,3,1.5,1.5,1,1,1,30,,0.012004813,0.83193284,92.695972,0.845105326,,,,,,
105,2.687526077,1.997029604,0.07976116,0.907711522,0,0,0,0,0,0,0,0,,NaN,0.998053557,-47.149604,0.999987531,,,,,,
106,3.830027342,1.998711594,0.088527414,0.929482381,0,0,0,0,0,0,0,0,,NaN,0.996310718,-48.831594,0.999987531,,,,,,
107,0.859554141,1.998609075,0.072400517,0.813781142,0,3,1.5,1.5,1,1,1,30,"(1,2)",0.011288406,0.822840407,88.310925,0.874130958,,,,,,
108,0.630452327,1.996557049,0.090211335,0.798131068,3,0,3,3,1,1,1,30,,0.009590925,0.799706227,106.322951,0.878510534,,,,,,
109,1.882371127,1.996375324,0.067760034,0.877518763,0,3,1.5,1.5,0,0,0,0,,0.039722951,0.977863236,85.624676,0.963911037,,,,,,
110,0.828667793,1.997956017,0.075921535,0.8113082,0,3,1.5,1.5,1,1,1,30,"(1,2)",0.013264676,0.822199422,87.763983,0.880533137,,,,,,
111,1.941502595,1.999878433,0.068237507,0.874066857,0,3,1.5,1.5,0,0,1,10,,0.037243983,0.915950154,90.401567,0.94547347,,,,,,
112,3.201121876,1.997297774,0.069934488,0.919275879,0,0,0,0,0,0,0,0,,NaN,0.997474923,-47.417774,0.999988898,,,,,,
113,0.567545355,1.998318116,0.094121146,0.789385968,3,0,3,3,1,1,1,30,,0.012222226,0.791343017,111.761884,0.889823398,,,,,,
